step,t,atom_id,mol_id,x,y,z,S_i,S_avg,c_label
1,13000000,5931,40.0,9.12592,6.82067,0.736228,-3.692,-5.138,0
1,13000000,3694,25.0,3.31696,7.78083,0.325731,-3.801,-5.162,0
1,13000000,8649,58.0,15.5095,12.1005,12.5471,-3.322,-5.183,0
1,13000000,4543,31.0,9.22303,13.2433,14.5208,-6.766,-5.189,0
1,13000000,4530,31.0,9.66688,16.2096,13.3089,-6.455,-5.699,1
1,13000000,3710,25.0,3.81241,4.04009,2.81035,-4.814,-5.1,0
1,13000000,8650,58.0,15.4728,12.3631,12.2559,-5.07,-5.179,0
1,13000000,5938,40.0,11.3542,6.85209,0.792591,-4.732,-5.041,0
1,13000000,5937,40.0,10.9913,6.94908,0.862931,-7.883,-5.041,0
1,13000000,3695,25.0,3.63745,7.58616,16.1705,-3.37,-5.131,0
1,13000000,8651,58.0,15.7886,12.5281,12.0829,-4.809,-5.183,0
1,13000000,8655,58.0,0.671445,13.4983,12.1946,-7.015,-5.019,0
1,13000000,3696,25.0,3.72691,7.30645,0.495332,-3.349,-5.143,0
1,13000000,8653,58.0,0.335812,12.9584,12.1614,-2.951,-5.101,0
1,13000000,8652,58.0,15.9497,12.8001,12.3112,-8.368,-5.152,0
1,13000000,3697,25.0,3.57143,6.95103,0.474992,-3.159,-5.092,0
1,13000000,8654,58.0,0.471606,13.2343,12.3961,-8.527,-4.989,0
1,13000000,3698,25.0,3.73017,6.73964,0.764347,-5.927,-5.091,0
1,13000000,3699,25.0,3.60602,6.38031,0.820013,-4.636,-5.061,0
1,13000000,8898,60.0,7.72891,1.37438,6.10756,-3.732,-5.718,0
1,13000000,4545,31.0,9.63761,13.0793,15.0315,-5.212,-5.34,0
1,13000000,8656,58.0,0.949576,13.3238,11.9828,-4.567,-5.093,0
1,13000000,8657,58.0,1.2031,13.5595,11.822,-4.938,-5.056,0
1,13000000,2434,17.0,5.11763,13.4378,7.22598,-3.883,-5.264,0
1,13000000,3582,24.0,15.2652,8.00182,13.666,-4.114,-5.147,0
1,13000000,2437,17.0,5.10472,12.5247,7.64086,-5.844,-4.951,0
1,13000000,2433,17.0,4.8949,13.7233,7.06069,-5.188,-5.336,0
1,13000000,8662,58.0,2.53131,13.6846,10.9016,-4.62,-5.371,0
1,13000000,3709,25.0,3.7118,4.27134,2.51283,-4.893,-5.024,0
1,13000000,8663,58.0,2.72177,14.0073,10.7891,-4.76,-5.367,0
1,13000000,3708,25.0,3.79302,4.64504,2.55004,-5.266,-5.131,0
1,13000000,8664,58.0,3.02228,13.9165,10.5349,-6.719,-5.347,0
1,13000000,8665,58.0,3.23519,14.2083,10.4277,-7.845,-5.38,0
1,13000000,2436,17.0,5.23911,12.8896,7.55756,-5.367,-4.989,0
1,13000000,2435,17.0,4.98557,13.0857,7.32062,-5.849,-5.143,0
1,13000000,3705,25.0,3.45511,5.41846,2.02485,-3.698,-5.019,0
1,13000000,3706,25.0,3.66065,5.24451,2.28588,-3.485,-5.065,0
1,13000000,3583,24.0,14.9597,7.99826,13.4233,-7.405,-5.087,0
1,13000000,3610,25.0,8.97303,2.83502,1.79761,-5.858,-5.085,0
1,13000000,5934,40.0,10.1179,6.79015,0.750629,-4.941,-4.98,0
1,13000000,3611,25.0,8.91333,3.23005,1.79271,-3.83,-5.032,0
1,13000000,5929,40.0,9.12051,7.47561,0.561673,-5.295,-5.194,0
1,13000000,5930,40.0,9.0285,7.18568,0.818191,-3.831,-5.2,0
